Finding,Severity/Type,Tool,Details
"php.laravel.security.laravel-native-sql-injection.laravel-native-sql-injection","CRITICAL","Semgrep","Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions. To build SQL queries safely in PHP, it is possible to adopt prepared statements by using `PDO` with bind variables using `bindParam()`."
"php.lang.security.injection.tainted-sql-string.tainted-sql-string","ERROR","Semgrep","User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare("INSERT INTO test(id, label) VALUES (?, ?)");`) or a safe library."
"php.lang.security.md5-loose-equality.md5-loose-equality","ERROR","Semgrep","Make sure comparisons involving md5 values are strict (use `===` not `==`) to avoid type juggling issues"
"php.lang.security.injection.tainted-sql-string.tainted-sql-string","ERROR","Semgrep","User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare("INSERT INTO test(id, label) VALUES (?, ?)");`) or a safe library."
"php.lang.security.md5-loose-equality.md5-loose-equality","ERROR","Semgrep","Make sure comparisons involving md5 values are strict (use `===` not `==`) to avoid type juggling issues"
"php.lang.security.md5-loose-equality.md5-loose-equality","ERROR","Semgrep","Make sure comparisons involving md5 values are strict (use `===` not `==`) to avoid type juggling issues"
"php.lang.security.md5-loose-equality.md5-loose-equality","ERROR","Semgrep","Make sure comparisons involving md5 values are strict (use `===` not `==`) to avoid type juggling issues"
"php.lang.security.md5-loose-equality.md5-loose-equality","ERROR","Semgrep","Make sure comparisons involving md5 values are strict (use `===` not `==`) to avoid type juggling issues"
"php.lang.security.md5-loose-equality.md5-loose-equality","ERROR","Semgrep","Make sure comparisons involving md5 values are strict (use `===` not `==`) to avoid type juggling issues"
"javascript.browser.security.insecure-document-method.insecure-document-method","ERROR","Semgrep","User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
"javascript.browser.security.insecure-document-method.insecure-document-method","ERROR","Semgrep","User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
"php.lang.security.taint-unsafe-echo-tag.taint-unsafe-echo-tag","WARNING","Semgrep","Found direct access to a PHP variable wihout HTML escaping inside an inline PHP statement setting data from `$_REQUEST[...]`. When untrusted input can be used to tamper with a web page rendering, it can lead to a Cross-site scripting (XSS) vulnerability. XSS vulnerabilities occur when untrusted input executes malicious JavaScript code, leading to issues such as account compromise and sensitive information leakage. To prevent this vulnerability, validate the user input, perform contextual output encoding or sanitize the input. In PHP you can encode or sanitize user input with `htmlspecialchars` or use automatic context-aware escaping with a template engine such as Latte."
"php.lang.security.md5-loose-equality.md5-loose-equality","ERROR","Semgrep","Make sure comparisons involving md5 values are strict (use `===` not `==`) to avoid type juggling issues"
"php.lang.security.exec-use.exec-use","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection."
"php.lang.security.injection.tainted-exec.tainted-exec","WARNING","Semgrep","User input is passed to a function that executes a shell command. This can lead to remote code execution."
"php.lang.security.tainted-command-injection.tainted-command-injection","CRITICAL","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input that is used respectively as system commands or command arguments."
"php.lang.security.tainted-exec.tainted-exec","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command."
"php.laravel.security.laravel-command-injection.laravel-command-injection","WARNING","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input when used respectively as system commands or command arguments."
"php.lang.security.exec-use.exec-use","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection."
"php.lang.security.injection.tainted-exec.tainted-exec","WARNING","Semgrep","User input is passed to a function that executes a shell command. This can lead to remote code execution."
"php.lang.security.tainted-command-injection.tainted-command-injection","CRITICAL","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input that is used respectively as system commands or command arguments."
"php.lang.security.tainted-exec.tainted-exec","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command."
"php.laravel.security.laravel-command-injection.laravel-command-injection","WARNING","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input when used respectively as system commands or command arguments."
"php.lang.security.exec-use.exec-use","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection."
"php.lang.security.injection.tainted-exec.tainted-exec","WARNING","Semgrep","User input is passed to a function that executes a shell command. This can lead to remote code execution."
"php.lang.security.tainted-command-injection.tainted-command-injection","CRITICAL","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input that is used respectively as system commands or command arguments."
"php.lang.security.tainted-exec.tainted-exec","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command."
"php.laravel.security.laravel-command-injection.laravel-command-injection","WARNING","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input when used respectively as system commands or command arguments."
"php.lang.security.exec-use.exec-use","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection."
"php.lang.security.injection.tainted-exec.tainted-exec","WARNING","Semgrep","User input is passed to a function that executes a shell command. This can lead to remote code execution."
"php.lang.security.tainted-command-injection.tainted-command-injection","CRITICAL","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input that is used respectively as system commands or command arguments."
"php.lang.security.tainted-exec.tainted-exec","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command."
"php.laravel.security.laravel-command-injection.laravel-command-injection","WARNING","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input when used respectively as system commands or command arguments."
"php.lang.security.exec-use.exec-use","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection."
"php.lang.security.injection.tainted-exec.tainted-exec","WARNING","Semgrep","User input is passed to a function that executes a shell command. This can lead to remote code execution."
"php.lang.security.tainted-command-injection.tainted-command-injection","CRITICAL","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input that is used respectively as system commands or command arguments."
"php.lang.security.tainted-exec.tainted-exec","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command."
"php.laravel.security.laravel-command-injection.laravel-command-injection","WARNING","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input when used respectively as system commands or command arguments."
"php.lang.security.exec-use.exec-use","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection."
"php.lang.security.injection.tainted-exec.tainted-exec","WARNING","Semgrep","User input is passed to a function that executes a shell command. This can lead to remote code execution."
"php.lang.security.tainted-command-injection.tainted-command-injection","CRITICAL","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input that is used respectively as system commands or command arguments."
"php.lang.security.tainted-exec.tainted-exec","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command."
"php.laravel.security.laravel-command-injection.laravel-command-injection","WARNING","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input when used respectively as system commands or command arguments."
"php.lang.security.exec-use.exec-use","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection."
"php.lang.security.injection.tainted-exec.tainted-exec","WARNING","Semgrep","User input is passed to a function that executes a shell command. This can lead to remote code execution."
"php.lang.security.tainted-command-injection.tainted-command-injection","CRITICAL","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input that is used respectively as system commands or command arguments."
"php.lang.security.tainted-exec.tainted-exec","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command."
"php.laravel.security.laravel-command-injection.laravel-command-injection","WARNING","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input when used respectively as system commands or command arguments."
"php.lang.security.exec-use.exec-use","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection."
"php.lang.security.injection.tainted-exec.tainted-exec","WARNING","Semgrep","User input is passed to a function that executes a shell command. This can lead to remote code execution."
"php.lang.security.tainted-command-injection.tainted-command-injection","CRITICAL","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input that is used respectively as system commands or command arguments."
"php.lang.security.tainted-exec.tainted-exec","ERROR","Semgrep","Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command."
"php.laravel.security.laravel-command-injection.laravel-command-injection","WARNING","Semgrep","Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the user input, and use safe methods for executing the commands. In PHP, it is possible to use `escapeshellcmd(...)` and `escapeshellarg(...)` to correctly sanitize input when used respectively as system commands or command arguments."
"php.lang.security.injection.tainted-filename.tainted-filename","WARNING","Semgrep","File name based on user input risks server-side request forgery."
"php.lang.security.md5-loose-equality.md5-loose-equality","ERROR","Semgrep","Make sure comparisons involving md5 values are strict (use `===` not `==`) to avoid type juggling issues"
"php.lang.security.md5-loose-equality.md5-loose-equality","ERROR","Semgrep","Make sure comparisons involving md5 values are strict (use `===` not `==`) to avoid type juggling issues"
"javascript.browser.security.eval-detected.eval-detected","WARNING","Semgrep","Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
"javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp","WARNING","Semgrep","RegExp() called with a `f` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS."
"php.lang.security.injection.tainted-sql-string.tainted-sql-string","ERROR","Semgrep","User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare("INSERT INTO test(id, label) VALUES (?, ?)");`) or a safe library."
"php.lang.security.injection.tainted-sql-string.tainted-sql-string","ERROR","Semgrep","User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare("INSERT INTO test(id, label) VALUES (?, ?)");`) or a safe library."
"php.lang.security.injection.tainted-sql-string.tainted-sql-string","ERROR","Semgrep","User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare("INSERT INTO test(id, label) VALUES (?, ?)");`) or a safe library."
"php.laravel.security.laravel-native-sql-injection.laravel-native-sql-injection","CRITICAL","Semgrep","Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions. To build SQL queries safely in PHP, it is possible to adopt prepared statements by using `PDO` with bind variables using `bindParam()`."
"php.lang.security.injection.tainted-sql-string.tainted-sql-string","ERROR","Semgrep","User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare("INSERT INTO test(id, label) VALUES (?, ?)");`) or a safe library."
"php.lang.security.injection.tainted-sql-string.tainted-sql-string","ERROR","Semgrep","User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare("INSERT INTO test(id, label) VALUES (?, ?)");`) or a safe library."
"php.laravel.security.laravel-native-sql-injection.laravel-native-sql-injection","CRITICAL","Semgrep","Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions. To build SQL queries safely in PHP, it is possible to adopt prepared statements by using `PDO` with bind variables using `bindParam()`."
"php.lang.security.injection.tainted-sql-string.tainted-sql-string","ERROR","Semgrep","User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare("INSERT INTO test(id, label) VALUES (?, ?)");`) or a safe library."
"php.lang.security.injection.tainted-sql-string.tainted-sql-string","ERROR","Semgrep","User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare("INSERT INTO test(id, label) VALUES (?, ?)");`) or a safe library."
"php.lang.security.unlink-use.unlink-use","WARNING","Semgrep","Using user input when deleting files with `unlink()` is potentially dangerous. A malicious actor could use this to modify or access files they have no right to."
"php.lang.security.tainted-code-execution.tainted-code-execution","CRITICAL","Semgrep","The application might dynamically evaluate untrusted input, which can lead to a code injection vulnerability. An attacker can execute arbitrary code, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing code containing user input. If this is unavoidable, validate and sanitize the input, and use safe alternatives for evaluating user input."
"php.lang.security.eval-use.eval-use","ERROR","Semgrep","Evaluating non-constant commands. This can lead to command injection."
"php.laravel.security.laravel-code-injection.laravel-code-injection","CRITICAL","Semgrep","The application might dynamically evaluate untrusted input, which can lead to a code injection vulnerability. An attacker can execute arbitrary code, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing code containing user input. If this is unavoidable, validate and sanitize the input, and use safe alternatives for evaluating user input."
"php.lang.security.injection.tainted-filename.tainted-filename","WARNING","Semgrep","File name based on user input risks server-side request forgery."
"php.lang.security.tainted-code-execution.tainted-code-execution","CRITICAL","Semgrep","The application might dynamically evaluate untrusted input, which can lead to a code injection vulnerability. An attacker can execute arbitrary code, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing code containing user input. If this is unavoidable, validate and sanitize the input, and use safe alternatives for evaluating user input."
"php.lang.security.eval-use.eval-use","ERROR","Semgrep","Evaluating non-constant commands. This can lead to command injection."
"php.laravel.security.laravel-code-injection.laravel-code-injection","CRITICAL","Semgrep","The application might dynamically evaluate untrusted input, which can lead to a code injection vulnerability. An attacker can execute arbitrary code, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing code containing user input. If this is unavoidable, validate and sanitize the input, and use safe alternatives for evaluating user input."
"php.lang.security.injection.tainted-filename.tainted-filename","WARNING","Semgrep","File name based on user input risks server-side request forgery."
"php.lang.security.injection.tainted-filename.tainted-filename","WARNING","Semgrep","File name based on user input risks server-side request forgery."
"php.lang.security.injection.tainted-filename.tainted-filename","WARNING","Semgrep","File name based on user input risks server-side request forgery."
"php.lang.security.injection.tainted-filename.tainted-filename","WARNING","Semgrep","File name based on user input risks server-side request forgery."
"php.lang.security.injection.tainted-filename.tainted-filename","WARNING","Semgrep","File name based on user input risks server-side request forgery."
"php.lang.security.injection.tainted-filename.tainted-filename","WARNING","Semgrep","File name based on user input risks server-side request forgery."
"php.lang.security.injection.tainted-filename.tainted-filename","WARNING","Semgrep","File name based on user input risks server-side request forgery."
"php.lang.security.injection.tainted-filename.tainted-filename","WARNING","Semgrep","File name based on user input risks server-side request forgery."
"php.lang.security.taint-cookie-secure-false.taint-cookie-secure-false","ERROR","Semgrep","Secure cookie flag is explicitly disabled. This will cause cookies to be transmitted over unencrypted HTTP connections which can allow theft of confidential user data such as session tokens."
"php.lang.security.taint-cookie-http-false.taint-cookie-http-false","ERROR","Semgrep","HttpOnly cookie flag is explicitly disabled. This will cause cookies to be transmitted over unencrypted HTTP connections which can allow theft of confidential user data such as session tokens."
"php.lang.security.tainted-user-input-in-php-script.tainted-user-input-in-php-script","ERROR","Semgrep","Untrusted input could be used to tamper with a web page rendering, which can lead to a Cross-site scripting (XSS) vulnerability. XSS vulnerabilities occur when untrusted input executes malicious JavaScript code, leading to issues such as account compromise and sensitive information leakage. To prevent this vulnerability, validate the user input, perform contextual output encoding or sanitize the input. In PHP you can encode or sanitize user input with `htmlspecialchars` or use automatic context-aware escaping with a template engine such as Latte."
